"","EVTYPE"
"433","WATERSPOUT TORNADO"
"434","LIGHTNING INJURY"
"435","LIGHTNING AND THUNDERSTORM WIN"
"436","THUNDERSTORM WINDS 13"
"437","FREEZING RAIN/SNOW"
"438","WIND STORM"
"439","URBAN AND SMALL STREAM FLOODIN"
"440","FREEZE"
"441","LIGHTNING."
"442","THUNDERTORM WINDS"
"443","FLOOD/RIVER FLOOD"
"444","AVALANCE"
"445","HURRICANE EMILY"
"446","HURRICANE FELIX"
"447","HIGH WIND/HEAVY SNOW"
"448","RAIN/WIND"
"449","HEAVY SNOW/BLIZZARD/AVALANCHE"
"450","THUNDERSTORM WIND G52"
"451","HIGH WAVES"
"452","HYPOTHERMIA"
"453","COLD/WINDS"
"454","RECORD COLD"
"455","SNOW/ BITTER COLD"
"456","RAPIDLY RISING WATER"
"457","MINOR FLOODING"
"458","FLOOD & HEAVY RAIN"
"459","HIGH WIND 48"
"460","TIDAL FLOODING"
"461","EXTENDED COLD"
"462","WHIRLWIND"
"463","FREEZING SPRAY"
"464","MUDSLIDES"
"465","COASTALSTORM"
"466","SNOW SQUALLS"
"467","TSTM WIND (G40)"
"468","TSTM WIND (G35)"
"469","HYPERTHERMIA/EXPOSURE"
"470","ICE ROADS"
"471","THUNDERSTORM WIND (G40)"
"472","NON TSTM WIND"
"473","HAZARDOUS SURF"
"474","ICE ON ROAD"
"475","DROWNING"
"476","TSUNAMI"
